"journal","frequency"
"BMC Avian Research","1"
"BMC Cancer","1"
"BMC Infectious Diseases","1"
"BMC Microbiology","1"
"BMC Molecular Biology","1"
"BMC Neuroscience","1"
"BMC Plant Biology","1"
"BMC Public Health","1"
"BMC Research Notes","1"
"BMC Retrovirology","1"
"BMJ Open","1"
"Brain Connectivity","1"
"Brain Research Bulletin","1"
"Breast Cancer Research and Treatment","1"
"Briefings In Functional Genomics","1"
"Cancer Biology and Therapy","1"
"Cancer Immunology Research","1"
"Cancer Informatics","1"
"Cancer Letters","1"
"Cancer Prevention Research","1"
"Cell Host and Microbe","1"
"Cell Metabolism","1"
"Cell Research","1"
"Cellular Logistics","1"
"Chinese Science Bulletin","1"
"Chromosoma","1"
"Clinical and Experimental Medicine","1"
"Clinical Immunology","1"
"Cognitive, Affective & Behavioral Neuroscience","1"
"Cold Spring Harbor Perspectives in Biology","1"
"Cortex","1"
"CPT: Pharmacometrics & Systems Pharmacology","1"
"Current Cardiology Reports","1"
"Current Opinion in Insect Science","1"
"Current Opinion in Structural Biology","1"
"Current Opinion in Virology","1"
"Current Problems in Cancer","1"
"Cytometry A","1"
"Deep-Sea Research Part I: Oceanographic Research Papers","1"
"Deutsche Entomologische Zeitschrift","1"
"Development Genes And Evolution","1"
"Diabetologia","1"
"Diversity and Distributions","1"
"Dynamic Games and Applications","1"
"Earth-Science Reviews","1"
"Ecography","1"
"Ecological Applications","1"
"Ecological Indicators","1"
"Ecology And Evolution","1"
"Ecosystems","1"
"ELECTROPHORESIS","1"
"EMBO Reports","1"
"eNeuro","1"
"Environmental Modelling & Software","1"
"Epidemics","1"
"Epidemiology & Infection","1"
"European Heart Journal","1"
"European Journal of Neuroscience","1"
"Eurosurveillance","1"
"EvoDevo","1"
"Evolutionary Bioinformatics","1"
"Evolutionary Biology","1"
"FEMS Yeast Research","1"
"Free Radical Biology and Medicine","1"
"Frontiers in Aging Neuroscience","1"
"Frontiers in Behavioral Neuroscience","1"
"Frontiers in Chemistry","1"
"Frontiers in Marine Science","1"
"Frontiers in Molecular Neuroscience","1"
"Frontiers In Neuroanatomy","1"
"Frontiers in Oncology","1"
"Frontiers in Pharmacology","1"
"Frontiers in Physiology","1"
"Frontiers in Zoology","1"
"Gastric Cancer","1"
"Genes and Immunity","1"
"Genesis","1"
"Genetics and Molecular Research","1"
"Genomics Data","1"
"Genomics, Proteomics & Bioinformatics","1"
"Geobiology","1"
"Global Ecology and Biogeography","1"
"Heliyon","1"
"Hippocampus","1"
"Human Genomics","1"
"Human Pathology","1"
"Human Reproduction","1"
"Hydrobiologia","1"
"IEEE Life Sciences Letters","1"
"IEEE Transactions On Biomedical Circuits And Systems","1"
"IEEE Transactions on Biomedical Engineering","1"
"Immunogenetics","1"
"Insect Biochemistry and Molecular Biology","1"
"Insect Molecular Biology","1"
"Integrative and Comparative Biology","1"
"International Journal of Advanced Research","1"
"International Journal of Medical Informatics","1"
"International Journal of Neuropsychopharmacology","1"
"Journal of Animal Ecology","1"
"Journal Of Antimicrobial Chemotherapy","1"
"Journal of Biological Dynamics","1"
"Journal of Biomedical Discovery and Collaboration","1"
"Journal of Biomedical Informatics","1"
"Journal of Biomedical Semantics","1"
"Journal of Cell Science","1"
"Journal Of Chemical Ecology","1"
"Journal of Clinical Microbiology","1"
"Journal Of Community Genetics","1"
"Journal Of Computer-Aided Molecular Design","1"
"Journal of Ecology","1"
"Journal Of Economic Entomology","1"
"Journal of Ethnopharmacology","1"
"Journal of Experimental Biology","1"
"Journal Of Experimental Botany","1"
"Journal of Human Genetics","1"
"Journal of Insect Conservation","1"
"Journal of Investigative Dermatology","1"
"Journal of Marine Biology & Oceanography","1"
"Journal of Microbiological Methods","1"
"Journal of Molecular Graphics and Modelling","1"
"Journal of Molecular Liquids","1"
"Journal of Morphology","1"
"Journal of Neural Engineering","1"
"Journal of Neuroinflammation","1"
"Journal of Plant Pathology","1"
"Journal of Shellfish Research","1"
"Journal of the American Chemical Society","1"
"Journal of Thermal Biology","1"
"Jove","1"
"Lab On A Chip","1"
"Langmuir","1"
"Marine Pollution Bulletin","1"
"Mathematical Biosciences and Engineering","1"
"MBio","1"
"Mechanisms of Development","1"
"Medical Hypotheses","1"
"Meta Gene","1"
"Methods In Molecular Biology","1"
"Microbial Evolution","1"
"Microbial Genomics","1"
"Microbiological Research","1"
"Microbiology","1"
"Microscopy Research and Technique","1"
"Mitochondrial DNA","1"
"Mobile DNA","1"
"Molecular Case Studies","1"
"Molecular Human Reproduction","1"
"Molecular Neurobiology","1"
"MSphere","1"
"MycoKeys","1"
"Nature Chemistry","1"
"Nature Materials","1"
"Nature Physics","1"
"Nature Plants","1"
"Nature Reviews Molecular Cell Biology","1"
"Nature Structural & Molecular Biology","1"
"Neural Development","1"
"Neural Plasticity","1"
"Neurobiology of Learning and Memory","1"
"Neurochemistry International","1"
"Neuropsychopharmacology","1"
"Neuroscience Letters","1"
"New England Journal of Medicine","1"
"Obesity","1"
"Oecologia","1"
"Oikos","1"
"Oncotarget","1"
"Origins Of Life And Evolution Of The Biosphere","1"
"Orphanet Journal Of Rare Diseases","1"
"Parasites & Vectors","1"
"Pattern Recognition","1"
"Pediatric Blood and Cancer","1"
"Pediatric Nephrology","1"
"PeerJ Computer Science","1"
"Persoonia","1"
"Philosophical Transactions A","1"
"Physica A","1"
"Physical Review X","1"
"Physiological Entomology","1"
"Plant & Cell Physiology","1"
"Plant Methods","1"
"Plant Science","1"
"PLoS Computational Biology","1"
"PLoS Genetics","1"
"Polar Biology","1"
"Progress in Biophysics and Molecular Biology","1"
"Proteins: Structure, Function, and Bioinformatics","1"
"Psychophysiology","1"
"Quarterly Reviews of Biophysics","1"
"Review of Scientific Instruments","1"
"Sensors","1"
"Social Cognitive And Affective Neuroscience","1"
"Statistical Applications In Genetics And Molecular Biology","1"
"Statistical Methods In Medical Research","1"
"Stem Cells International","1"
"Steroids","1"
"Symmetry","1"
"Talanta","1"
"The Annals of Applied Statistics","1"
"The Auk","1"
"The Condor: Ornithological Applications","1"
"The International Journal of Infectious Diseases","1"
"The Journal of Chemical Physics","1"
"The Journal Of Heredity","1"
"The Journal of Physical Chemistry B","1"
"The Journal Of Physical Chemistry. B","1"
"The Pharmacogenomics Journal","1"
"The Plant Cell","1"
"Theory In Biosciences","1"
"Toxicological Sciences","1"
"Toxicon","1"
"Tree Genetics & Genomes","1"
"Trends in Ecology and Evolution","1"
"Twin Research And Human Genetics","1"
"Vision Research","1"
"Zebrafish","1"
"Zoological Research","1"
